卫视频道,#genre#
黑龙江卫视,http://42.238.246.97:8012/rtp/225.1.4.91:1120
内蒙古卫视,http://123.4.213.228:8188/rtp/225.1.4.45:1074
河南卫视,http://124.135.64.121:22222/rtp/239.253.254.190:8000
河南卫视,http://111.196.129.187:20000/rtp/239.3.1.27:8128
东南卫视,http://42.238.246.97:8012/rtp/225.1.4.228:1274
北京卫视,http://117.12.150.180:4022/rtp/225.1.1.113:5002
西藏卫视,http://114.254.37.241:18888/rtp/239.3.1.47:8164
辽宁卫视,http://111.196.129.187:20000/rtp/239.3.1.210:8056
黑龙江卫视,http://117.12.150.180:4022/rtp/225.1.1.115:5002
广西卫视,http://124.135.64.121:22222/rtp/239.253.254.197:8000
海南卫视,http://124.135.64.121:22222/rtp/239.253.254.179:8000
贵州卫视,http://171.119.205.171:6000/rtp/226.0.2.180:9352
四川卫视,http://121.29.169.117:7777/rtp/239.253.92.16:6043
贵州卫视,http://42.238.246.97:8012/rtp/225.1.4.122:1302
内蒙古卫视,http://111.196.129.187:20000/rtp/239.3.1.43:8176
西藏卫视,http://42.238.246.97:8012/rtp/225.1.4.46:1075
厦门卫视,http://111.196.129.187:20000/rtp/239.3.1.143:4120
湖南卫视,http://121.29.169.117:7777/rtp/239.253.92.84:8015
广东卫视,http://121.29.169.117:8888/rtp/239.253.92.206:8108
湖北卫视,http://42.238.246.97:8012/rtp/225.1.4.89:1118
兵团卫视,http://111.196.129.187:20000/rtp/239.3.1.144:4120
东方卫视,http://42.238.246.97:8012/rtp/225.1.4.85:1114
三沙卫视,http://111.196.129.187:20000/rtp/239.3.1.155:4120
陕西卫视,http://111.196.129.187:20000/rtp/239.3.1.41:8140
东方卫视,http://121.29.169.117:8888/rtp/239.253.92.89:8019
浙江卫视,http://42.238.246.97:8012/rtp/225.1.4.84:1113
广西卫视,http://42.238.246.97:8012/rtp/225.1.4.31:1060
东方卫视,http://111.196.129.187:20000/rtp/239.3.1.136:8032
新疆卫视,http://117.12.150.180:4022/rtp/225.1.1.35:5002
新疆卫视,http://42.238.246.97:8012/rtp/225.1.4.47:1076
湖南卫视,http://121.29.169.89:8888/rtp/239.253.92.84:8015
安徽卫视,http://39.89.122.41:8188/rtp/239.253.254.87:8000
江西卫视,http://114.254.37.241:18888/rtp/239.3.1.123:8164
浙江卫视,http://121.29.133.109:8888/rtp/239.253.92.90:8020
兵团卫视,http://121.29.169.89:7777/rtp/239.253.93.176:6344
内蒙古卫视,http://117.12.150.180:4022/rtp/225.1.1.32:5002
贵州卫视,http://111.196.129.187:20000/rtp/239.3.1.149:8076
河北卫视,http://42.238.246.97:8012/rtp/225.1.4.123:1304
河北卫视,http://121.29.169.117:7777/rtp/239.253.92.154:6011
辽宁卫视,http://121.29.169.117:7777/rtp/239.253.92.115:6056
吉林卫视,http://124.135.64.121:22222/rtp/239.253.254.173:8000
东南卫视,http://121.29.215.236:7777/rtp/239.253.92.201:6146
四川卫视,http://42.238.246.97:8012/rtp/225.1.4.151:1306
宁夏卫视,http://42.238.246.97:8012/rtp/225.1.4.43:1072
四川卫视,http://114.254.37.241:18888/rtp/239.3.1.29:8288
广东卫视,http://121.29.133.109:8888/rtp/239.253.92.206:8108
辽宁卫视,http://42.238.246.97:8012/rtp/225.1.4.167:1208
辽宁卫视,http://121.29.169.117:8888/rtp/239.253.92.115:6056
山东教育卫视,http://124.135.64.121:22222/rtp/239.253.254.59:8000
深圳卫视,http://114.254.37.241:18888/rtp/239.3.1.134:8020
新疆卫视,http://111.196.129.187:20000/rtp/239.3.1.48:8160
深圳卫视,http://121.29.133.109:8888/rtp/239.253.92.86:8017
贵州卫视,http://121.29.215.236:7777/rtp/239.253.92.105:6055
青海卫视,http://117.12.150.180:4022/rtp/225.1.1.54:5002
东方卫视,http://171.119.205.171:6000/rtp/226.0.2.175:9312
四川卫视,http://171.119.205.171:6000/rtp/226.0.2.179:9344
陕西卫视,http://42.238.246.97:8012/rtp/225.1.4.39:1068
广东卫视,http://117.12.150.180:4022/rtp/225.1.1.116:5002
山东卫视,http://124.135.64.121:22222/rtp/239.253.254.78:8000
浙江卫视,http://121.29.169.117:7777/rtp/239.253.92.90:8020
吉林卫视,http://42.238.246.97:8012/rtp/225.1.4.174:1309
东方卫视,http://121.29.215.236:7777/rtp/239.253.92.89:8019
黑龙江卫视,http://121.29.169.89:8888/rtp/239.253.92.85:8016
江苏卫视,http://114.254.37.241:18888/rtp/239.3.1.135:8028
宁夏卫视,http://123.4.213.228:8188/rtp/225.1.4.43:1072
甘肃卫视,http://123.4.213.228:8188/rtp/225.1.4.42:1071
山西卫视,http://42.238.246.97:8012/rtp/225.1.4.38:1067
河北卫视,http://111.196.129.187:20000/rtp/239.3.1.148:8072
广东卫视,http://121.29.169.117:7777/rtp/239.253.92.206:8108
河南卫视,http://42.238.246.97:8012/rtp/225.1.4.98:1127
甘肃卫视,http://114.254.37.241:18888/rtp/239.3.1.49:8188
贵州卫视,http://121.29.133.109:8888/rtp/239.253.92.105:6055
山西卫视,http://117.12.150.180:4022/rtp/225.1.1.50:5002
湖北卫视,http://117.12.150.180:4022/rtp/225.1.1.147:5002
江苏卫视,http://42.238.246.97:8012/rtp/225.1.4.83:1112
山东卫视,http://121.29.169.117:8888/rtp/239.253.92.207:8109
安徽卫视,http://114.254.37.241:18888/rtp/239.3.1.211:8064
江西卫视,http://121.29.215.236:7777/rtp/239.253.92.19:6145
山西卫视,http://114.254.37.241:18888/rtp/239.3.1.42:8172
重庆卫视,http://121.29.215.236:8888/rtp/239.253.92.10:6053
黑龙江卫视,http://111.196.129.187:20000/rtp/239.3.1.133:8016
河南卫视,http://121.29.215.236:8888/rtp/239.253.92.137:6144
安徽卫视,http://121.29.169.205:7777/rtp/239.253.92.209:6566
北京卫视,http://121.29.169.89:8888/rtp/239.253.92.87:8014
重庆卫视,http://121.29.169.117:8888/rtp/239.253.92.10:6053
四川卫视,http://121.29.133.109:8888/rtp/239.253.92.16:6043
云南卫视,http://123.4.213.228:8188/rtp/225.1.4.152:1307
北京卫视,http://122.189.103.140:8010/rtp/228.0.0.63:6108
湖北卫视,http://122.189.103.140:8010/rtp/228.0.0.60:6108
吉林卫视,http://114.254.37.241:18888/rtp/239.3.1.240:8172
天津卫视,http://123.4.213.228:8188/rtp/225.1.4.86:1115
山东卫视,http://121.29.169.89:7777/rtp/239.253.92.207:8109
东南卫视,http://114.254.37.241:18888/rtp/239.3.1.156:8148
陕西卫视,http://123.4.213.228:8188/rtp/225.1.4.39:1068
湖南卫视,http://42.238.246.97:8012/rtp/225.1.4.82:1111
四川卫视,http://121.29.215.236:7777/rtp/239.253.92.16:6043
黑龙江卫视,http://171.119.205.171:6000/rtp/226.0.2.151:9120
湖北卫视,http://171.119.205.171:6000/rtp/226.0.2.150:9112
青海卫视,http://124.135.64.121:22222/rtp/239.253.254.195:8000
安徽卫视,http://121.29.169.205:8888/rtp/239.253.92.209:6566
兵团卫视,http://121.29.169.205:8888/rtp/239.253.93.176:6344
山东卫视,http://121.29.169.89:8888/rtp/239.253.92.207:8109
山东卫视,http://171.119.205.58:6000/rtp/226.0.2.149:9104
吉林卫视,http://111.196.129.187:20000/rtp/239.3.1.240:8172
湖北卫视,http://121.29.215.236:8888/rtp/239.253.92.210:6567
四川卫视,http://121.29.169.205:8888/rtp/239.253.92.16:6043
湖南卫视,http://114.254.37.241:18888/rtp/239.3.1.132:8012
海南卫视,http://121.29.169.205:8888/rtp/239.253.93.155:6323
深圳卫视,http://111.196.129.187:20000/rtp/239.3.1.134:8020
河南卫视,http://121.29.215.236:7777/rtp/239.253.92.137:6144
海南卫视,http://123.4.213.228:8188/rtp/225.1.4.195:1310
兵团卫视,http://123.4.213.228:8188/rtp/225.1.4.97:1126
深圳卫视,http://121.29.169.205:7777/rtp/239.253.92.86:8017
广西卫视,http://121.29.169.205:8888/rtp/239.253.92.76:8043
天津卫视,http://171.119.205.154:6000/rtp/226.0.2.148:9096
安徽卫视,http://121.29.215.236:7777/rtp/239.253.92.209:6566
广西卫视,http://121.29.215.236:7777/rtp/239.253.92.76:8043
云南卫视,http://124.135.64.121:22222/rtp/239.253.254.196:8000
吉林卫视,http://121.29.133.109:8888/rtp/239.253.92.202:6147
深圳卫视,http://121.29.169.117:8888/rtp/239.253.92.86:8017
海南卫视,http://42.238.246.97:8012/rtp/225.1.4.195:1310
贵州卫视,http://121.29.169.117:8888/rtp/239.253.92.105:6055
广东卫视,http://123.4.213.228:8188/rtp/225.1.4.166:1207
河南卫视,http://123.4.213.228:8188/rtp/225.1.4.254:1300
安徽卫视,http://171.119.207.220:6000/rtp/226.0.2.145:9072
广西卫视,http://121.29.215.236:8888/rtp/239.253.92.76:8043
山东卫视,http://123.4.213.228:8188/rtp/225.1.4.88:1117
辽宁卫视,http://123.4.213.228:8188/rtp/225.1.4.167:1208
三沙卫视,http://123.4.213.228:8188/rtp/225.1.4.234:1280
吉林卫视,http://123.4.213.228:8188/rtp/225.1.4.174:1309
安徽卫视,http://123.4.213.228:8188/rtp/225.1.4.87:1116
东方卫视,http://123.4.213.228:8188/rtp/225.1.4.85:1114
山东教育卫视,http://121.29.169.117:7777/rtp/239.253.92.106:6135
浙江卫视,http://117.12.150.180:4022/rtp/225.1.1.112:5002
广西卫视,http://121.29.169.89:8888/rtp/239.253.92.76:8043
湖南卫视,http://121.29.133.109:8888/rtp/239.253.92.84:8015
内蒙古卫视,http://122.189.103.140:8010/rtp/228.0.0.52:6108
吉林卫视,http://121.29.169.117:7777/rtp/239.253.92.202:6147
山东教育卫视,http://123.4.213.228:8188/rtp/225.1.4.164:1205
浙江卫视,http://171.119.205.154:6000/rtp/226.0.2.144:9064
海南卫视,http://121.29.215.236:8888/rtp/239.253.93.155:6323
江西卫视,http://123.4.213.228:8188/rtp/225.1.4.139:1305
四川卫视,http://123.4.213.228:8188/rtp/225.1.4.151:1306
浙江卫视,http://123.4.213.228:8188/rtp/225.1.4.84:1113
云南卫视,http://114.254.37.241:18888/rtp/239.3.1.26:8108
山东教育卫视,http://111.196.129.187:20000/rtp/239.3.1.52:4120
陕西卫视,http://117.12.150.180:4022/rtp/225.1.1.41:5002
河南卫视,http://121.29.169.117:7777/rtp/239.253.92.137:6144
辽宁卫视,http://121.29.133.109:8888/rtp/239.253.92.115:6056
湖北卫视,http://121.29.169.117:7777/rtp/239.253.92.210:6567
东南卫视,http://121.29.133.109:8888/rtp/239.253.92.201:6146
天津卫视,http://121.29.133.109:8888/rtp/239.253.92.91:8021
吉林卫视,http://171.119.205.171:6000/rtp/226.0.2.58:8376
山东卫视,http://171.119.205.154:6000/rtp/226.0.2.149:9104
北京卫视,http://121.29.133.109:8888/rtp/239.253.92.87:8014
贵州卫视,http://121.29.215.236:8888/rtp/239.253.92.105:6055
河南卫视,http://121.29.169.205:8888/rtp/239.253.92.137:6144
深圳卫视,http://42.238.246.97:8012/rtp/225.1.4.90:1119
辽宁卫视,http://171.119.205.171:6000/rtp/226.0.2.173:9296
辽宁卫视,http://171.119.205.154:6000/rtp/226.0.2.173:9296
湖南卫视,http://121.29.169.205:7777/rtp/239.253.92.84:8015
海南卫视,http://121.29.133.109:8888/rtp/239.253.93.155:6323
深圳卫视,http://123.4.213.228:8188/rtp/225.1.4.90:1119
广东卫视,http://121.29.169.89:7777/rtp/239.253.92.206:8108
辽宁卫视,http://114.254.37.241:18888/rtp/239.3.1.210:8056
广西卫视,http://121.29.133.109:8888/rtp/239.253.92.76:8043
甘肃卫视,http://111.196.129.187:20000/rtp/239.3.1.49:8188
吉林卫视,http://122.189.103.140:8010/rtp/228.0.0.45:6108
辽宁卫视,http://121.29.169.205:7777/rtp/239.253.92.115:6056
辽宁卫视,http://117.12.150.180:4022/rtp/225.1.1.154:5002
黑龙江卫视,http://124.135.64.121:22222/rtp/239.253.254.93:8000
山西卫视,http://171.119.205.171:6000/rtp/226.0.2.152:9128
辽宁卫视,http://121.29.215.236:8888/rtp/239.253.92.115:6056
河北卫视,http://122.189.103.140:8010/rtp/228.0.0.168:7168
江西卫视,http://121.29.169.117:7777/rtp/239.253.92.19:6145
湖南卫视,http://121.29.169.117:8888/rtp/239.253.92.84:8015
广东卫视,http://111.196.129.187:20000/rtp/239.3.1.142:8048
吉林卫视,http://121.29.169.89:8888/rtp/239.253.92.202:6147
深圳卫视,http://121.29.169.205:8888/rtp/239.253.92.86:8017
重庆卫视,http://111.196.129.187:20000/rtp/239.3.1.122:8160
厦门卫视,http://114.254.37.241:18888/rtp/239.3.1.143:4120
四川卫视,http://171.119.205.154:6000/rtp/226.0.2.179:9344
贵州卫视,http://121.29.169.117:7777/rtp/239.253.92.105:6055
河北卫视,http://121.29.215.236:7777/rtp/239.253.92.154:6011
黑龙江卫视,http://171.119.205.154:6000/rtp/226.0.2.151:9120
黑龙江卫视,http://123.4.213.228:8188/rtp/225.1.4.91:1120
山东卫视,http://118.78.196.46:55555/rtp/226.0.2.149:9104
北京卫视,http://121.29.169.117:8888/rtp/239.253.92.87:8014
天津卫视,http://121.29.169.205:8888/rtp/239.253.92.91:8021
重庆卫视,http://171.119.205.154:6000/rtp/226.0.2.174:9304
广西卫视,http://121.29.169.205:7777/rtp/239.253.92.76:8043
江西卫视,http://121.29.133.109:8888/rtp/239.253.92.19:6145
重庆卫视,http://171.119.205.171:6000/rtp/226.0.2.174:9304
浙江卫视,http://111.196.129.187:20000/rtp/239.3.1.137:8036
海南卫视,http://121.29.169.89:8888/rtp/239.253.93.155:6323
天津卫视,http://121.29.169.205:7777/rtp/239.253.92.91:8021
甘肃卫视,http://42.238.246.97:8012/rtp/225.1.4.42:1071
山东卫视,http://121.29.169.205:7777/rtp/239.253.92.207:8109
江西卫视,http://171.119.207.220:6000/rtp/226.0.2.54:8344
河北卫视,http://121.29.169.117:8888/rtp/239.253.92.154:6011
河南卫视,http://171.119.207.220:6000/rtp/226.0.2.52:8328
湖南卫视,http://123.4.213.228:8188/rtp/225.1.4.82:1111
浙江卫视,http://171.119.207.220:6000/rtp/226.0.2.144:9064
天津卫视,http://111.196.129.187:20000/rtp/239.3.1.141:1234
天津卫视,http://171.119.205.171:6000/rtp/226.0.2.148:9096
广东卫视,http://121.29.215.236:7777/rtp/239.253.92.206:8108
四川卫视,http://111.196.129.187:20000/rtp/239.3.1.29:8288
重庆卫视,http://123.4.213.228:8188/rtp/225.1.4.157:1308
深圳卫视,http://171.119.205.58:6000/rtp/226.0.2.147:9088
重庆卫视,http://122.189.103.140:8010/rtp/228.0.0.159:7159
四川卫视,http://121.29.169.117:8888/rtp/239.253.92.16:6043
广东卫视,http://121.29.169.205:7777/rtp/239.253.92.206:8108
东南卫视,http://121.29.169.89:7777/rtp/239.253.92.201:6146
山东教育卫视,http://121.29.169.117:8888/rtp/239.253.92.106:6135
广西卫视,http://171.119.205.154:6000/rtp/226.0.2.231:9760
青海卫视,http://122.189.103.140:8010/rtp/228.0.0.54:6108
深圳卫视,http://121.29.169.89:8888/rtp/239.253.92.86:8017
北京卫视,http://121.29.215.236:8888/rtp/239.253.92.87:8014
重庆卫视,http://121.29.133.109:8888/rtp/239.253.92.10:6053
新疆卫视,http://116.2.167.167:4010/rtp/232.0.0.18:1234
北京卫视,http://121.29.169.205:8888/rtp/239.253.92.87:8014
深圳卫视,http://121.29.215.236:8888/rtp/239.253.92.86:8017
东方卫视,http://171.119.205.154:6000/rtp/226.0.2.175:9312
北京卫视,http://171.119.205.154:6000/rtp/226.0.2.177:9328
江苏卫视,http://171.119.205.58:6000/rtp/226.0.2.176:9320
辽宁卫视,http://116.2.167.167:4010/rtp/232.0.0.126:1234
山东教育卫视,http://114.254.37.241:18888/rtp/239.3.1.52:4120
湖北卫视,http://111.196.129.187:20000/rtp/239.3.1.138:8044
湖南卫视,http://116.2.167.167:4010/rtp/232.0.0.115:1234
黑龙江卫视,http://121.29.169.205:8888/rtp/239.253.92.85:8016
湖北卫视,http://121.29.133.109:8888/rtp/239.253.92.210:6567
宁夏卫视,http://114.254.37.241:18888/rtp/239.3.1.46:8124
广西卫视,http://171.119.205.171:6000/rtp/226.0.2.231:9760
吉林卫视,http://121.29.169.205:7777/rtp/239.253.92.202:6147
北京卫视,http://121.29.169.117:7777/rtp/239.253.92.87:8014
重庆卫视,http://121.29.169.205:7777/rtp/239.253.92.10:6053
天津卫视,http://114.254.37.241:18888/rtp/239.3.1.141:1234
东方卫视,http://121.29.169.89:7777/rtp/239.253.92.89:8019
东南卫视,http://124.135.64.121:22222/rtp/239.253.254.105:8000
海南卫视,http://121.29.169.117:7777/rtp/239.253.93.155:6323
河北卫视,http://121.29.169.205:8888/rtp/239.253.92.154:6011
东方卫视,http://121.29.215.236:8888/rtp/239.253.92.89:8019
