数字频道,#genre#
中国天气,http://58.46.69.155:8188/udp/239.76.246.61:1234
快乐垂钓,http://58.46.69.155:8188/udp/239.76.252.127:9000
快乐垂钓,http://122.189.103.140:8010/rtp/228.0.0.203:6108
金鹰纪实,http://61.159.135.101:4022/rtp/238.255.2.108:5999
天元围棋,http://121.29.215.236:7777/rtp/239.253.93.211:6389
天元围棋,http://219.141.45.102:8188/rtp/238.255.2.7:5999
金鹰纪实,http://116.2.167.167:4010/rtp/232.0.0.163:1234
中国天气,http://220.176.218.147:9000/rtp/239.252.219.143:5140
快乐垂钓,http://58.46.69.155:8188/udp/239.76.246.5:1234
金鹰纪实,http://61.159.134.106:4022/rtp/238.255.2.108:5999
中国天气,http://175.8.129.208:4000/udp/239.76.253.61:9000
金鹰纪实,http://220.169.100.41:10087/udp/239.76.253.110:9000
快乐垂钓,http://106.59.3.132:55555/rtp/239.200.200.103:8400
快乐垂钓,http://175.8.129.208:4000/udp/239.76.253.5:9000
快乐垂钓,http://218.8.87.96:4000/rtp/229.58.190.113:5000
天元围棋,http://171.213.157.52:9999/udp/239.93.42.55:5140
金鹰纪实,http://121.29.169.89:7777/rtp/239.253.92.103:6054
快乐垂钓,http://58.46.69.155:8188/udp/239.76.253.5:9000
法治天地,http://222.67.24.171:1688/rtp/239.45.1.46:5140
欢笑剧场,http://218.1.138.50:4022/rtp/239.45.1.4:5140
快乐垂钓,http://111.224.75.87:4022/rtp/239.254.200.229:6257
天元围棋,http://171.213.208.39:4022/udp/239.93.42.55:5140
金鹰纪实,http://106.59.3.132:55555/rtp/239.200.201.126:8840
金鹰纪实,http://122.189.103.140:8010/rtp/228.0.0.145:7145
天元围棋,http://106.116.127.92:4022/rtp/239.254.201.156:6270
天元围棋,http://171.213.155.138:9999/udp/239.93.42.55:5140
天元围棋,http://175.8.129.208:4000/udp/239.76.253.2:9000
魅力足球,http://218.8.87.96:4000/rtp/229.58.190.112:5000
魅力足球,http://1.58.243.207:4001/rtp/229.58.190.112:5000
金鹰纪实,http://42.92.195.174:10000/udp/239.255.29.39:8231
魅力足球,http://1.58.246.23:4000/rtp/229.58.190.112:5000
快乐垂钓,http://222.169.99.87:7777/rtp/239.37.0.244:5540
中国天气,http://124.224.85.17:2000/rtp/239.121.4.112:8654
