更新时间,#genre#
CETV1,http://218.86.187.40:8188/rtp/238.255.2.105:5999
CETV1,http://61.159.135.101:4022/rtp/238.255.2.105:5999
CETV1,http://171.213.229.178:5555/udp/239.93.1.111:5140
CETV2,http://222.67.24.171:1688/rtp/239.45.1.52:5140
CETV2,http://112.66.74.84:8188/rtp/239.253.64.128:5140
CETV2,http://121.29.215.236:7777/rtp/239.253.92.108:6136
CETV2,http://123.4.213.228:8188/rtp/225.1.4.165:1206
CETV2,http://223.198.243.166:4000/rtp/239.253.64.128:5140
CETV2,http://121.29.169.117:8888/rtp/239.253.92.108:6136
CETV2,http://111.224.75.87:4022/rtp/239.254.200.226:6260
CETV2,http://121.29.169.205:7777/rtp/239.253.92.108:6136
CETV2,http://219.141.45.102:8188/rtp/238.255.2.221:5999
CETV2,http://114.254.37.241:18888/rtp/239.3.1.54:4120
CETV2,http://111.196.129.187:20000/rtp/239.3.1.54:4120
CETV2,http://121.29.215.236:8888/rtp/239.253.92.108:6136
CETV2,http://218.86.187.40:8188/rtp/238.255.2.221:5999
CETV2,http://122.189.103.140:8010/rtp/228.0.0.198:7198
CETV2,http://222.218.122.114:8188/udp/239.81.0.245:4056
CETV2,http://121.29.169.89:8888/rtp/239.253.92.108:6136
CETV2,http://121.29.169.89:7777/rtp/239.253.92.108:6136
CETV2,http://218.86.184.144:4022/rtp/238.255.2.221:5999
CETV2,http://115.171.80.94:1688/rtp/225.1.8.193:4120
CETV2,http://121.29.169.117:7777/rtp/239.253.92.108:6136
CETV2,http://219.141.45.235:8188/rtp/238.255.2.221:5999
CETV2,http://116.2.167.167:4010/rtp/232.0.0.238:1234
CETV2,http://125.76.196.174:8899/rtp/239.109.205.48:8320
CETV2,http://121.29.169.205:8888/rtp/239.253.92.108:6136
CETV2,http://125.76.196.82:8899/rtp/239.109.205.48:8320
CETV2,http://106.59.3.132:55555/rtp/239.200.201.121:8780
CETV2,http://117.30.59.104:18888/rtp/239.61.3.6:9554
CETV2,http://1.85.225.218:8686/rtp/239.109.205.48:8320
CETV2,http://124.226.132.38:19090/udp/239.81.0.245:4056
CETV2,http://218.8.87.96:4000/rtp/229.58.190.59:5000
CETV2,http://125.76.196.44:8899/rtp/239.109.205.48:8320
CETV2,http://125.76.196.61:8899/rtp/239.109.205.48:8320
CETV2,http://1.58.243.207:4001/rtp/229.58.190.59:5000
CETV2,http://117.39.35.122:4022/rtp/239.109.205.48:8320
CETV2,http://1.58.243.207:4000/rtp/229.58.190.59:5000
CETV2,http://1.58.246.23:4001/rtp/229.58.190.59:5000
CETV2,http://27.184.65.110:58888/rtp/239.254.200.226:6260
CETV2,http://219.144.113.58:8888/rtp/239.109.205.48:8320
CETV2,http://1.58.246.23:4000/rtp/229.58.190.59:5000
CETV2,http://111.226.232.182:10010/rtp/239.254.200.226:6260
CETV2,http://114.241.220.153:4022/rtp/239.3.1.54:4120
CETV2,http://180.165.24.227:4022/rtp/239.45.1.52:5140
CETV2,http://218.1.138.50:4022/rtp/239.45.1.52:5140
CETV2,http://27.189.126.108:4022/rtp/239.254.200.226:6260
